vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-06-01 00:00:24,2016-06-01 00:13:58,1,3.18,-73.968727111816406,40.687797546386719,1,N,-73.977905273437500,40.650882720947266,2,12.50,0.50,0.50,0.00,0.00,0.30,13.80
2,2016-06-01 00:00:24,2016-06-01 00:31:00,5,16.97,-73.789894104003906,40.643764495849609,2,N,-73.951637268066406,40.759574890136719,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
1,2016-06-01 00:00:25,2016-06-01 00:15:01,1,3.30,-73.967658996582031,40.762863159179688,1,N,-73.929359436035156,40.767082214355469,1,14.00,0.50,0.50,3.05,0.00,0.30,18.35
2,2016-06-01 00:00:26,2016-06-01 00:15:53,3,9.86,-73.838562011718750,40.727592468261719,2,N,-73.981414794921875,40.734073638916016,1,52.00,0.00,0.50,8.00,5.54,0.30,66.34
1,2016-06-01 00:00:28,2016-06-01 00:10:19,1,2.10,-73.962310791015625,40.770282745361328,1,N,-73.987792968750000,40.759105682373047,2,9.00,0.50,0.50,0.00,0.00,0.30,10.30
1,2016-06-01 00:00:29,2016-06-01 00:26:42,1,7.20,-73.979995727539063,40.779628753662109,1,N,-73.996078491210937,40.691135406494141,2,23.50,0.50,0.50,0.00,0.00,0.30,24.80
2,2016-06-01 00:00:29,2016-06-01 00:04:31,1,0.97,-73.954162597656250,40.779170989990234,1,N,-73.964332580566406,40.770458221435547,1,5.50,0.50,0.50,1.36,0.00,0.30,8.16
2,2016-06-01 00:00:29,2016-06-01 00:20:19,1,9.35,-73.870895385742187,40.773696899414063,1,N,-73.943763732910156,40.834426879882813,1,27.50,0.50,0.50,6.87,5.54,0.30,41.21
2,2016-06-01 00:00:30,2016-06-01 00:11:31,2,1.04,-73.977661132812500,40.761051177978516,1,N,-73.987358093261719,40.755558013916016,1,8.50,0.50,0.50,1.96,0.00,0.30,11.76
2,2016-06-01 00:00:30,2016-06-01 00:04:26,1,0.49,-73.947662353515625,40.830200195312500,1,N,-73.944740295410156,40.829200744628906,1,4.50,0.50,0.50,1.16,0.00,0.30,6.96
2,2016-06-01 00:00:31,2016-06-01 00:14:59,2,3.15,-74.010231018066406,40.719768524169922,1,N,-73.986907958984375,40.761219024658203,2,12.00,0.50,0.50,0.00,0.00,0.30,13.30
2,2016-06-01 00:00:31,2016-06-01 00:16:33,1,3.84,-73.985664367675781,40.744213104248047,1,N,-73.979110717773437,40.786849975585937,2,14.50,0.50,0.50,0.00,0.00,0.30,15.80
2,2016-06-01 00:00:32,2016-06-01 00:18:47,1,5.92,-74.002479553222656,40.733478546142578,1,N,-73.968360900878906,40.799770355224609,2,19.50,0.50,0.50,0.00,0.00,0.30,20.80
2,2016-06-01 00:00:32,2016-06-01 00:12:17,5,4.84,-74.011642456054687,40.704601287841797,1,N,-73.972679138183594,40.743518829345703,1,15.50,0.50,0.50,1.00,0.00,0.30,17.80
1,2016-06-01 00:00:33,2016-06-01 00:16:59,1,7.60,-73.870956420898437,40.773712158203125,1,N,-73.955062866210937,40.804435729980469,1,23.00,0.50,0.50,0.00,5.54,0.30,29.84
2,2016-06-01 00:00:34,2016-06-01 00:14:25,1,3.46,-73.989326477050781,40.747459411621094,1,N,-73.953010559082031,40.783058166503906,1,13.00,0.50,0.50,2.00,0.00,0.30,16.30
2,2016-06-01 00:00:34,2016-06-01 00:13:31,5,2.12,-73.964523315429687,40.767189025878906,1,N,-73.989997863769531,40.757289886474609,1,11.00,0.50,0.50,2.46,0.00,0.30,14.76
1,2016-06-01 00:00:34,2016-06-01 00:05:04,1,0.90,-73.974288940429688,40.756618499755859,1,N,-73.978202819824219,40.745895385742187,1,5.50,0.50,0.50,1.35,0.00,0.30,8.15
1,2016-06-01 00:00:35,2016-06-01 00:07:46,1,1.70,-73.961631774902344,40.776268005371094,1,N,-73.980445861816406,40.770053863525391,2,8.00,0.50,0.50,0.00,0.00,0.30,9.30
2,2016-06-01 00:00:35,2016-06-01 00:05:44,1,1.31,-73.981811523437500,40.749019622802734,1,N,-73.990478515625000,40.732891082763672,1,6.50,0.50,0.50,1.00,0.00,0.30,8.80
2,2016-06-01 00:00:35,2016-06-01 00:35:05,2,18.36,-73.776802062988281,40.645160675048828,1,N,-73.868606567382813,40.824699401855469,2,50.50,0.50,0.50,0.00,5.54,0.30,57.34
1,2016-06-01 00:00:36,2016-06-01 00:07:09,1,0.70,-73.966056823730469,40.764999389648438,1,N,-73.955108642578125,40.765205383300781,4,6.00,0.50,0.50,0.00,0.00,0.30,7.30
1,2016-06-01 00:00:36,2016-06-01 00:17:01,1,2.00,-73.985351562500000,40.748943328857422,1,N,-74.001899719238281,40.729541778564453,1,12.00,0.50,0.50,0.00,0.00,0.30,13.30
1,2016-06-01 00:00:38,2016-06-01 00:20:00,1,7.90,-73.870758056640625,40.773689270019531,1,N,-73.952774047851562,40.823425292968750,1,24.50,0.50,0.50,6.25,5.54,0.30,37.59
1,2016-06-01 00:00:38,2016-06-01 00:08:17,1,0.50,0.000000000000000,0.000000000000000,1,N,-74.002273559570312,40.739326477050781,1,6.00,0.50,0.50,1.45,0.00,0.30,8.75
2,2016-06-01 00:00:38,2016-06-01 00:17:12,1,3.84,-73.997703552246094,40.674720764160156,1,N,-73.955772399902344,40.688629150390625,1,15.00,0.50,0.50,0.00,0.00,0.30,16.30
1,2016-06-01 00:00:39,2016-06-01 00:15:49,1,3.00,-73.990249633789063,40.718925476074219,1,N,-73.991073608398438,40.750133514404297,1,13.00,0.50,0.50,2.85,0.00,0.30,17.15
2,2016-06-01 00:00:39,2016-06-01 00:29:48,1,20.76,-73.790153503417969,40.646575927734375,2,N,-74.016220092773438,40.704906463623047,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
1,2016-06-01 00:00:40,2016-06-01 00:18:18,1,9.00,-74.007095336914063,40.741676330566406,1,N,-73.937965393066406,40.851650238037109,1,26.50,0.50,0.50,4.00,0.00,0.30,31.80
2,2016-06-01 00:00:40,2016-06-01 00:25:16,1,16.50,-73.789840698242188,40.646656036376953,2,N,-73.974227905273438,40.752941131591797,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
1,2016-06-01 00:00:41,2016-06-01 00:11:44,2,2.00,-73.997566223144531,40.721336364746094,1,N,-74.008689880371094,40.738819122314453,1,9.50,0.50,0.50,2.70,0.00,0.30,13.50
1,2016-06-01 00:00:41,2016-06-01 00:11:36,1,1.80,-73.984451293945313,40.750411987304687,1,N,-73.984283447265625,40.767292022705078,1,9.00,0.50,0.50,2.05,0.00,0.30,12.35
2,2016-06-01 00:00:41,2016-06-01 00:22:22,1,6.16,-73.939819335937500,40.750549316406250,1,N,-73.952987670898437,40.718521118164062,2,21.00,0.50,0.50,0.00,0.00,0.30,22.30
2,2016-06-01 00:00:41,2016-06-01 00:15:25,2,2.60,-74.004013061523438,40.742179870605469,1,N,-73.969009399414063,40.750438690185547,2,12.00,0.50,0.50,0.00,0.00,0.30,13.30
2,2016-06-01 00:00:41,2016-06-01 00:10:53,5,1.83,-73.971786499023438,40.759159088134766,1,N,-73.998542785644531,40.760738372802734,2,9.00,0.50,0.50,0.00,0.00,0.30,10.30
1,2016-06-01 00:00:42,2016-06-01 00:12:31,1,2.40,-73.974464416503906,40.793457031250000,1,N,-73.978942871093750,40.761196136474609,1,11.00,0.50,0.50,3.65,0.00,0.30,15.95
2,2016-06-01 00:00:42,2016-06-01 00:06:33,2,1.02,-73.980079650878906,40.760330200195312,1,N,-73.965209960937500,40.758998870849609,1,6.00,0.50,0.50,1.46,0.00,0.30,8.76
2,2016-06-01 00:00:42,2016-06-01 00:10:16,1,1.92,-73.973068237304688,40.759380340576172,1,N,-73.994537353515625,40.752059936523438,1,9.00,0.50,0.50,2.06,0.00,0.30,12.36
2,2016-06-01 00:00:42,2016-06-01 00:11:17,6,1.89,-74.002868652343750,40.733821868896484,1,N,-73.991043090820313,40.755676269531250,1,9.50,0.50,0.50,2.00,0.00,0.30,12.80
1,2016-06-01 00:00:43,2016-06-01 00:02:14,1,0.60,-73.969482421875000,40.753559112548828,1,N,-73.975028991699219,40.746059417724609,1,4.00,0.50,0.50,1.00,0.00,0.30,6.30
1,2016-06-01 00:00:43,2016-06-01 00:10:19,1,1.70,-73.984893798828125,40.760601043701172,1,N,-73.982467651367188,40.779914855957031,1,9.00,0.50,0.50,2.05,0.00,0.30,12.35
1,2016-06-01 00:00:43,2016-06-01 00:12:19,1,2.30,-73.992004394531250,40.754940032958984,1,N,-73.990127563476563,40.731906890869141,1,10.50,0.50,0.50,0.59,0.00,0.30,12.39
2,2016-06-01 00:00:43,2016-06-01 00:06:17,1,1.73,-73.978126525878906,40.783409118652344,1,N,-73.961242675781250,40.801479339599609,1,7.00,0.50,0.50,1.66,0.00,0.30,9.96
2,2016-06-01 00:00:43,2016-06-01 00:08:24,1,1.39,-73.989952087402344,40.760761260986328,1,N,-73.988853454589844,40.771850585937500,1,7.50,0.50,0.50,1.76,0.00,0.30,10.56
2,2016-06-01 00:00:43,2016-06-01 00:12:31,2,5.07,-73.862678527832031,40.768810272216797,1,N,-73.865989685058594,40.735111236572266,1,16.00,0.50,0.50,3.46,0.00,0.30,20.76
1,2016-06-01 00:00:44,2016-06-01 00:05:32,1,1.30,-73.968521118164062,40.759178161621094,1,N,-73.953773498535156,40.770771026611328,2,6.00,0.50,0.50,0.00,0.00,0.30,7.30
1,2016-06-01 00:00:45,2016-06-01 00:17:55,2,4.60,-73.953804016113281,40.770946502685547,1,N,-73.953453063964844,40.822097778320313,1,16.50,0.50,0.50,3.55,0.00,0.30,21.35
1,2016-06-01 00:00:45,2016-06-01 00:09:09,1,2.70,-73.983100891113281,40.774856567382813,1,N,-73.952972412109375,40.786983489990234,1,10.00,0.50,0.50,0.00,0.00,0.30,11.30
2,2016-06-01 00:00:45,2016-06-01 00:06:59,1,1.56,-74.002685546875000,40.728725433349609,1,N,-73.988494873046875,40.748741149902344,1,7.00,0.50,0.50,0.70,0.00,0.30,9.00
2,2016-06-01 00:00:45,2016-06-01 00:01:48,2,0.03,-74.000068664550781,40.733005523681641,1,N,-73.999984741210937,40.733146667480469,2,3.00,0.50,0.50,0.00,0.00,0.30,4.30
1,2016-06-01 00:00:46,2016-06-01 00:09:13,1,1.50,-73.998291015625000,40.745586395263672,1,N,-73.984092712402344,40.765113830566406,1,8.00,0.50,0.50,1.85,0.00,0.30,11.15
2,2016-06-01 00:00:46,2016-06-01 00:19:00,1,8.33,-73.972900390625000,40.761619567871094,1,N,-73.881362915039063,40.829818725585937,2,24.00,0.50,0.50,0.00,0.00,0.30,25.30
1,2016-06-01 00:00:47,2016-06-01 00:12:50,2,3.20,-73.951957702636719,40.769355773925781,1,N,-73.990722656250000,40.751262664794922,2,12.50,0.50,0.50,0.00,0.00,0.30,13.80
1,2016-06-01 00:00:47,2016-06-01 00:10:45,2,2.10,-74.007095336914063,40.743793487548828,1,N,-73.995613098144531,40.725055694580078,1,9.50,0.50,0.50,2.16,0.00,0.30,12.96
2,2016-06-01 00:00:47,2016-06-01 00:07:03,1,2.06,-73.970230102539062,40.759960174560547,1,N,-73.990501403808594,40.735019683837891,1,8.00,0.50,0.50,1.00,0.00,0.30,10.30
2,2016-06-01 00:00:47,2016-06-01 00:04:24,1,1.50,-73.958221435546875,40.772750854492188,1,N,-73.943702697753906,40.789440155029297,1,6.00,0.50,0.50,1.00,0.00,0.30,8.30
2,2016-06-01 00:00:47,2016-06-01 00:05:04,2,1.41,-73.977882385253906,40.786911010742188,1,N,-73.961219787597656,40.796810150146484,2,6.00,0.50,0.50,0.00,0.00,0.30,7.30
1,2016-06-01 00:00:48,2016-06-01 00:16:14,2,4.00,-73.996940612792969,40.747573852539063,1,N,-73.951377868652344,40.779460906982422,1,14.50,0.50,0.50,3.16,0.00,0.30,18.96
2,2016-06-01 00:00:48,2016-06-01 00:06:58,1,0.79,-73.972442626953125,40.765308380126953,1,N,-73.962211608886719,40.763999938964844,1,6.00,0.50,0.50,1.46,0.00,0.30,8.76
2,2016-06-01 00:00:48,2016-06-01 00:19:56,1,8.02,-73.950477600097656,40.785808563232422,1,N,-73.849960327148438,40.836318969726563,1,24.50,0.50,0.50,0.00,0.00,0.30,25.80
1,2016-06-01 00:00:49,2016-06-01 00:10:54,1,1.60,-73.994018554687500,40.751392364501953,1,N,-73.970542907714844,40.750701904296875,1,8.50,0.50,0.50,1.00,0.00,0.30,10.80
2,2016-06-01 00:00:49,2016-06-01 00:06:57,5,1.14,-74.009323120117188,40.718650817871094,1,N,-74.008377075195312,40.708019256591797,1,6.00,0.50,0.50,1.46,0.00,0.30,8.76
2,2016-06-01 00:00:50,2016-06-01 00:24:57,1,7.81,-73.988693237304688,40.731079101562500,1,N,-73.938018798828125,40.750019073486328,2,25.50,0.50,0.50,0.00,0.00,0.30,26.80
2,2016-06-01 00:00:51,2016-06-01 00:01:45,2,0.02,-73.984588623046875,40.768608093261719,1,N,-73.984306335449219,40.768409729003906,2,2.50,0.50,0.50,0.00,0.00,0.30,3.80
2,2016-06-01 00:00:51,2016-06-01 00:01:45,2,0.02,-73.984588623046875,40.768608093261719,1,N,-73.984306335449219,40.768409729003906,3,-2.50,-0.50,-0.50,0.00,0.00,-0.30,-3.80
2,2016-06-01 00:00:51,2016-06-01 00:06:26,3,1.68,-74.000358581542969,40.732540130615234,1,N,-74.013343811035156,40.717491149902344,1,7.00,0.50,0.50,2.08,0.00,0.30,10.38
1,2016-06-01 00:00:52,2016-06-01 00:05:02,1,0.00,-73.974372863769531,40.751659393310547,5,N,-73.974159240722656,40.751968383789063,3,50.00,0.00,0.00,0.00,0.00,0.30,50.30
1,2016-06-01 00:00:53,2016-06-01 00:14:00,1,3.00,-73.983161926269531,40.762893676757813,1,N,-73.979537963867188,40.733013153076172,1,12.00,0.50,0.50,1.00,0.00,0.30,14.30
1,2016-06-01 00:00:53,2016-06-01 00:07:57,1,1.30,-73.976921081542969,40.764762878417969,1,N,-73.983085632324219,40.749771118164063,1,7.00,0.50,0.50,1.65,0.00,0.30,9.95
